U/V,I/mA,I/mA,I/mA,I/mA,I/mA
0,0,0,0,0,0
5,0.01,0.012,0.014,0.016,0.017
10,0.022,0.028,0.033,0.036,0.039
15,0.034,0.045,0.053,0.058,0.061
20,0.044,0.062,0.076,0.084,0.089
25,0.06,0.08,0.096,0.104,0.11
30,0.07,0.096,0.116,0.13,0.137
35,0.082,0.114,0.14,0.158,0.169
40,0.092,0.134,0.168,0.194,0.207
45,0.102,0.155,0.201,0.23,0.246
50,0.107,0.17,0.228,0.265,0.287
60,0.111,0.213,0.285,0.337,0.371
70,0.119,0.231,0.34,0.425,0.48
80,0.123,0.247,0.402,0.515,0.586
90,0.124,0.270,0.459,0.608,0.694
100,0.124,0.272,0.517,0.685,0.79
120,0.124,0.268,0.604,0.841,1.01
140,0.124,0.269,0.614,0.909,1.219
160,0.124,0.275,0.592,1.077,1.422
180,0.124,0.281,0.593,1.11,1.592
200,0.124,0.289,0.619,1.22,1.7
250,0.124,0.281,0.636,1.286,2.1
