U/V,n,I/mikroA
330,11649,0.2
340,11928,0.2
350,12322,0.2
360,12488,0.21
370,12538,0.21
380,12482,0.2
390,12726,0.25
400,12510,0.35
410,12494,0.4
420,12678,0.4
430,12718,0.4
440,12487,0.41
450,12825,0.5
460,12824,0.55
470,12850,0.55
480,12862,0.6
490,12962,0.6
500,12882,0.6
510,12815,0.61
520,12954,0.62
530,12922,0.65
540,12996,0.7
550,12914,0.75
560,12854,0.75
570,12916,0.8
580,12931,0.8
590,13047,0.9
600,13003,0.9
610,12837,0.95
620,13718,0.95
630,13000,1
640,12967,1
650,13132,1
660,13129,1.1
670,13269,1.1
680,13438,1.1
690,13413,1.1
700,13552,1.15
